County,Date,DailyCount,DailyDelta,LastUpdateDate
Angelina,2020-05-18,139,0,2020-06-18
Angelina,2020-05-19,154,15,2020-06-18
Angelina,2020-05-20,154,0,2020-06-18
Angelina,2020-05-21,168,14,2020-06-18
Angelina,2020-05-22,172,4,2020-06-18
Angelina,2020-05-23,175,3,2020-06-18
Angelina,2020-05-24,175,0,2020-06-18
Angelina,2020-05-25,175,0,2020-06-18
Angelina,2020-05-26,175,0,2020-06-18
Angelina,2020-05-27,193,18,2020-06-18
Angelina,2020-05-28,201,8,2020-06-18
Angelina,2020-05-29,203,2,2020-06-18
Angelina,2020-05-30,205,2,2020-06-18
Angelina,2020-05-31,205,0,2020-06-18
Angelina,2020-06-01,205,0,2020-06-18
Angelina,2020-06-02,215,10,2020-06-18
Angelina,2020-06-03,232,17,2020-06-18
Angelina,2020-06-04,232,0,2020-06-18
Angelina,2020-06-05,232,0,2020-06-18
Angelina,2020-06-06,237,5,2020-06-18
Angelina,2020-06-07,237,0,2020-06-18
Angelina,2020-06-08,237,0,2020-06-18
Angelina,2020-06-09,237,0,2020-06-18
Angelina,2020-06-10,281,44,2020-06-18
Angelina,2020-06-11,281,0,2020-06-18
Angelina,2020-06-12,309,28,2020-06-18
Angelina,2020-06-13,309,0,2020-06-18
Angelina,2020-06-14,309,0,2020-06-18
Angelina,2020-06-15,309,0,2020-06-18
Angelina,2020-06-16,331,22,2020-06-18
Angelina,2020-06-17,352,21,2020-06-18
Aransas,2020-03-04,0,,2020-06-18
Aransas,2020-03-05,0,0,2020-06-18
Aransas,2020-03-06,0,0,2020-06-18
Aransas,2020-03-09,0,0,2020-06-18
Aransas,2020-03-10,0,0,2020-06-18
Aransas,2020-03-11,0,0,2020-06-18
Aransas,2020-03-12,0,0,2020-06-18
Aransas,2020-03-13,0,0,2020-06-18
Aransas,2020-03-15,0,0,2020-06-18
Aransas,2020-03-16,0,0,2020-06-18
Aransas,2020-03-17,0,0,2020-06-18
Aransas,2020-03-18,0,0,2020-06-18
Aransas,2020-03-19,0,0,2020-06-18
Aransas,2020-03-20,0,0,2020-06-18
Aransas,2020-03-21,0,0,2020-06-18
Aransas,2020-03-22,0,0,2020-06-18
Aransas,2020-03-23,0,0,2020-06-18
Aransas,2020-03-24,0,0,2020-06-18
Aransas,2020-03-25,0,0,2020-06-18
Aransas,2020-03-26,0,0,2020-06-18
Aransas,2020-03-27,0,0,2020-06-18
Aransas,2020-03-28,0,0,2020-06-18
Aransas,2020-03-29,0,0,2020-06-18
Aransas,2020-03-30,0,0,2020-06-18
Aransas,2020-03-31,0,0,2020-06-18
Aransas,2020-04-01,0,0,2020-06-18
Aransas,2020-04-02,0,0,2020-06-18
Aransas,2020-04-03,0,0,2020-06-18
Aransas,2020-04-04,0,0,2020-06-18
Aransas,2020-04-05,1,1,2020-06-18
Aransas,2020-04-06,1,0,2020-06-18
Aransas,2020-04-07,1,0,2020-06-18
Aransas,2020-04-08,2,1,2020-06-18
Aransas,2020-04-09,2,0,2020-06-18
Aransas,2020-04-10,2,0,2020-06-18
Aransas,2020-04-11,2,0,2020-06-18
Aransas,2020-04-12,2,0,2020-06-18
Aransas,2020-04-13,2,0,2020-06-18
Aransas,2020-04-14,2,0,2020-06-18
Aransas,2020-04-15,2,0,2020-06-18
Aransas,2020-04-16,2,0,2020-06-18
Aransas,2020-04-17,2,0,2020-06-18
Aransas,2020-04-18,2,0,2020-06-18
Aransas,2020-04-19,2,0,2020-06-18
