County,Date,DailyCount,DailyDelta,LastUpdateDate
Andrews,2020-07-21,4,0,2020-08-09
Andrews,2020-07-22,4,0,2020-08-09
Andrews,2020-07-23,5,1,2020-08-09
Andrews,2020-07-24,6,1,2020-08-09
Andrews,2020-07-25,6,0,2020-08-09
Andrews,2020-07-26,6,0,2020-08-09
Andrews,2020-07-27,6,0,2020-08-09
Andrews,2020-07-28,6,0,2020-08-09
Andrews,2020-07-29,6,0,2020-08-09
Andrews,2020-07-30,6,0,2020-08-09
Andrews,2020-07-31,6,0,2020-08-09
Andrews,2020-08-01,6,0,2020-08-09
Andrews,2020-08-02,7,1,2020-08-09
Andrews,2020-08-03,7,0,2020-08-09
Andrews,2020-08-04,7,0,2020-08-09
Andrews,2020-08-05,7,0,2020-08-09
Andrews,2020-08-06,7,0,2020-08-09
Andrews,2020-08-07,7,0,2020-08-09
Angelina,2020-03-07,0,,2020-08-09
Angelina,2020-03-08,0,0,2020-08-09
Angelina,2020-03-09,0,0,2020-08-09
Angelina,2020-03-10,0,0,2020-08-09
Angelina,2020-03-11,0,0,2020-08-09
Angelina,2020-03-12,0,0,2020-08-09
Angelina,2020-03-13,0,0,2020-08-09
Angelina,2020-03-14,0,0,2020-08-09
Angelina,2020-03-15,0,0,2020-08-09
Angelina,2020-03-16,0,0,2020-08-09
Angelina,2020-03-17,0,0,2020-08-09
Angelina,2020-03-18,0,0,2020-08-09
Angelina,2020-03-19,0,0,2020-08-09
Angelina,2020-03-20,0,0,2020-08-09
Angelina,2020-03-21,0,0,2020-08-09
Angelina,2020-03-22,0,0,2020-08-09
Angelina,2020-03-23,0,0,2020-08-09
Angelina,2020-03-24,0,0,2020-08-09
Angelina,2020-03-25,0,0,2020-08-09
Angelina,2020-03-26,0,0,2020-08-09
Angelina,2020-03-27,0,0,2020-08-09
Angelina,2020-03-28,0,0,2020-08-09
Angelina,2020-03-29,0,0,2020-08-09
Angelina,2020-03-30,0,0,2020-08-09
Angelina,2020-03-31,0,0,2020-08-09
Angelina,2020-04-01,0,0,2020-08-09
Angelina,2020-04-02,0,0,2020-08-09
Angelina,2020-04-03,0,0,2020-08-09
Angelina,2020-04-04,0,0,2020-08-09
Angelina,2020-04-05,0,0,2020-08-09
Angelina,2020-04-06,0,0,2020-08-09
Angelina,2020-04-07,0,0,2020-08-09
Angelina,2020-04-08,0,0,2020-08-09
Angelina,2020-04-09,0,0,2020-08-09
Angelina,2020-04-10,0,0,2020-08-09
Angelina,2020-04-11,0,0,2020-08-09
Angelina,2020-04-12,0,0,2020-08-09
Angelina,2020-04-13,1,1,2020-08-09
Angelina,2020-04-14,1,0,2020-08-09
Angelina,2020-04-15,1,0,2020-08-09
Angelina,2020-04-16,1,0,2020-08-09
Angelina,2020-04-17,1,0,2020-08-09
Angelina,2020-04-18,1,0,2020-08-09
Angelina,2020-04-19,1,0,2020-08-09
Angelina,2020-04-20,1,0,2020-08-09
Angelina,2020-04-21,2,1,2020-08-09
Angelina,2020-04-22,2,0,2020-08-09
Angelina,2020-04-23,2,0,2020-08-09
Angelina,2020-04-24,2,0,2020-08-09
Angelina,2020-04-25,2,0,2020-08-09
Angelina,2020-04-26,2,0,2020-08-09
Angelina,2020-04-27,2,0,2020-08-09
Angelina,2020-04-28,2,0,2020-08-09
Angelina,2020-04-29,2,0,2020-08-09
Angelina,2020-04-30,2,0,2020-08-09
Angelina,2020-05-01,2,0,2020-08-09
Angelina,2020-05-02,2,0,2020-08-09
Angelina,2020-05-03,2,0,2020-08-09
Angelina,2020-05-04,2,0,2020-08-09
Angelina,2020-05-05,2,0,2020-08-09
Angelina,2020-05-06,2,0,2020-08-09
Angelina,2020-05-07,2,0,2020-08-09
Angelina,2020-05-08,3,1,2020-08-09
Angelina,2020-05-09,3,0,2020-08-09
Angelina,2020-05-10,3,0,2020-08-09
Angelina,2020-05-11,3,0,2020-08-09
Angelina,2020-05-12,3,0,2020-08-09
Angelina,2020-05-13,3,0,2020-08-09
Angelina,2020-05-14,3,0,2020-08-09
Angelina,2020-05-15,4,1,2020-08-09
Angelina,2020-05-16,4,0,2020-08-09
Angelina,2020-05-17,4,0,2020-08-09
Angelina,2020-05-18,4,0,2020-08-09
Angelina,2020-05-19,4,0,2020-08-09
Angelina,2020-05-20,4,0,2020-08-09
Angelina,2020-05-21,5,1,2020-08-09
Angelina,2020-05-22,5,0,2020-08-09
Angelina,2020-05-23,5,0,2020-08-09
