TSA_ID,TSA_Name,Date,DailyCount,DailyDelta,LastUpdateDate
B,Lubbock,2020-07-09,329,-6,2020-07-25
B,Lubbock,2020-07-10,302,-27,2020-07-25
B,Lubbock,2020-07-11,330,28,2020-07-25
B,Lubbock,2020-07-12,335,5,2020-07-25
B,Lubbock,2020-07-13,345,10,2020-07-25
B,Lubbock,2020-07-14,328,-17,2020-07-25
B,Lubbock,2020-07-15,322,-6,2020-07-25
B,Lubbock,2020-07-16,314,-8,2020-07-25
B,Lubbock,2020-07-17,316,2,2020-07-25
B,Lubbock,2020-07-18,292,-24,2020-07-25
B,Lubbock,2020-07-19,334,42,2020-07-25
B,Lubbock,2020-07-20,346,12,2020-07-25
B,Lubbock,2020-07-21,347,1,2020-07-25
B,Lubbock,2020-07-22,322,-25,2020-07-25
B,Lubbock,2020-07-23,293,-29,2020-07-25
B,Lubbock,2020-07-24,1089,796,2020-07-25
C,Wichita Falls,2020-04-12,348,,2020-07-25
C,Wichita Falls,2020-04-13,366,18,2020-07-25
C,Wichita Falls,2020-04-14,341,-25,2020-07-25
C,Wichita Falls,2020-04-15,343,2,2020-07-25
C,Wichita Falls,2020-04-16,356,13,2020-07-25
C,Wichita Falls,2020-04-17,350,-6,2020-07-25
C,Wichita Falls,2020-04-18,354,4,2020-07-25
C,Wichita Falls,2020-04-19,368,14,2020-07-25
C,Wichita Falls,2020-04-20,384,16,2020-07-25
C,Wichita Falls,2020-04-21,354,-30,2020-07-25
C,Wichita Falls,2020-04-22,346,-8,2020-07-25
C,Wichita Falls,2020-04-23,347,1,2020-07-25
C,Wichita Falls,2020-04-24,349,2,2020-07-25
C,Wichita Falls,2020-04-25,366,17,2020-07-25
C,Wichita Falls,2020-04-26,359,-7,2020-07-25
C,Wichita Falls,2020-04-27,358,-1,2020-07-25
C,Wichita Falls,2020-04-28,376,18,2020-07-25
C,Wichita Falls,2020-04-29,350,-26,2020-07-25
C,Wichita Falls,2020-04-30,329,-21,2020-07-25
C,Wichita Falls,2020-05-01,327,-2,2020-07-25
C,Wichita Falls,2020-05-02,336,9,2020-07-25
C,Wichita Falls,2020-05-03,342,6,2020-07-25
C,Wichita Falls,2020-05-04,352,10,2020-07-25
C,Wichita Falls,2020-05-05,353,1,2020-07-25
C,Wichita Falls,2020-05-06,349,-4,2020-07-25
C,Wichita Falls,2020-05-07,354,5,2020-07-25
C,Wichita Falls,2020-05-08,332,-22,2020-07-25
C,Wichita Falls,2020-05-09,343,11,2020-07-25
C,Wichita Falls,2020-05-10,349,6,2020-07-25
C,Wichita Falls,2020-05-11,346,-3,2020-07-25
C,Wichita Falls,2020-05-12,340,-6,2020-07-25
C,Wichita Falls,2020-05-13,353,13,2020-07-25
C,Wichita Falls,2020-05-14,332,-21,2020-07-25
C,Wichita Falls,2020-05-15,315,-17,2020-07-25
C,Wichita Falls,2020-05-16,315,0,2020-07-25
C,Wichita Falls,2020-05-17,313,-2,2020-07-25
C,Wichita Falls,2020-05-18,328,15,2020-07-25
C,Wichita Falls,2020-05-19,322,-6,2020-07-25
C,Wichita Falls,2020-05-20,285,-37,2020-07-25
C,Wichita Falls,2020-05-21,292,7,2020-07-25
C,Wichita Falls,2020-05-22,290,-2,2020-07-25
C,Wichita Falls,2020-05-23,308,18,2020-07-25
C,Wichita Falls,2020-05-24,314,6,2020-07-25
C,Wichita Falls,2020-05-25,310,-4,2020-07-25
